osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
264753679	61동	12		156	1980	강남구	압구정동	12.0		156	1980	12.0	33.599999999999994	1501.1955904637282	471724970.0	압구정한양6차아파트
264754540	9동	12		168	1978	강남구	압구정동	12.0		168	1978	12.0	33.599999999999994	1177.5282409526897	471726603.0	압구정한양1차아파트
264754544	8동	12		72	1978	강남구	압구정동	12.0		72	1978	12.0	33.599999999999994	709.6908899525023	471726603.0	압구정한양1차아파트
264754548	2동	12		84	1978	강남구	압구정동	12.0		84	1978	12.0	33.599999999999994	641.2009885826902	471726603.0	압구정한양1차아파트
264754551	5동	12		72	1978	강남구	압구정동	12.0		72	1978	12.0	33.599999999999994	641.1886831327994	471726603.0	압구정한양1차아파트
264754555	6동	12		84	1978	강남구	압구정동	12.0		84	1978	12.0	33.599999999999994	641.0518539495877	471726603.0	압구정한양1차아파트
264754558	1동	12		84	1978	강남구	압구정동	12.0		84	1978	12.0	33.599999999999994	640.9445287972276	471726603.0	압구정한양1차아파트
282429695	삼우파크빌라	4				서초구	양재동	4.0				4.0	11.2	289.8757199751497		
306366592	110동	20	53	75	2003			20.0	53.0	75	2003	20.0	53.0	824.1053746743017	491074920.0	서초래미안아파트
306366593	107동	27	73	54	2003			27.0	73.0	54	2003	27.0	73.0	355.64219129777285	491074920.0	서초래미안아파트
306366594	109동	24	64	86	2003			24.0	64.0	86	2003	24.0	64.0	762.4462553563967	491074920.0	서초래미안아파트
306366595	106동	27	73	104	2003			27.0	73.0	104	2003	27.0	73.0	727.6359998151981	491074920.0	서초래미안아파트
306366596	111동	20	53	35				20.0	53.0	35		20.0	53.0	304.0168380002859	491074920.0	서초래미안아파트
306366597	108동	26	70	104	2003			26.0	70.0	104	2003	26.0	70.0	608.1523207285069	491074920.0	서초래미안아파트
306387178	101동	10	30	41	2000			10.0	30.0	41	2000	10.0	30.0	875.9091716851035		
306390260	104동	26	73	109	2003			26.0	73.0	109	2003	26.0	73.0	795.55776067535	491074920.0	서초래미안아파트
306390261	113동	16	42	64	2003			16.0	42.0	64	2003	16.0	42.0	553.1204996589031	491074920.0	서초래미안아파트
306390262	105동	27	73	104	2003			27.0	73.0	104	2003	27.0	73.0	663.6350274472079	491074920.0	서초래미안아파트
306390263	102동	27	73	118	2003			27.0	73.0	118	2003	27.0	73.0	832.1362371081697	491074920.0	서초래미안아파트
306390264	103동	27	73	127	2003			27.0	73.0	127	2003	27.0	73.0	833.0149319568201	491074920.0	서초래미안아파트
306391164	101동	27	73	113	2003			27.0	73.0	113	2003	27.0	73.0	934.9146982336173	491074920.0	서초래미안아파트
313842482	서초파라곤	15	47	60	2005			15.0	47.0	60	2005	15.0	47.0	1161.5198447583707		
313864712	근형빌라					송파구	송파동							592.6180804761128		
