aptSeq	apt_name	gu	confidence	n_dong	reg_dong	dong_diff	reg_units	build_year	reg_year	reg_name	n_deals	단지고유번호
11230-2868	답십리파크자이	동대문구	LOW	6.0	9.0	-3.0	802.0	2019.0	2019.0	답십리파크자이	709	11230120383573
11710-156	우방아파트	송파구	LOW	1.0	4.0	-3.0	247.0	2002.0	2002.0	우방아파트	140	11710100002355
11290-20	한진(609-1)	성북구	MIXED	12.0	15.0	-3.0	2134.0	1998.0	1998.0	한진(609-1)	1345	11290100000308
11620-5194	관악파크푸르지오	관악구	HIGH	4.0	7.0	-3.0	363.0	2014.0	2014.0	관악파크푸르지오	236	11620120304840
11380-8489	마고정3단지센트레빌(310~322동)BL2-3	은평구	NAME	10.0	13.0	-3.0	659.0	2009.0	2009.0	마고정3단지센트레빌(310~322동)BL2-3	449	11380120124651
11620-38	건영2	관악구	LOW	1.0	4.0	-3.0	338.0	1988.0	1988.0	건영2	96	11620100002147
11560-16	삼익	영등포구	LEVEL_MISMATCH	1.0	4.0	-3.0	360.0	1974.0	1974.0	삼익	147	11560100000962
11410-4537	금호어울림	서대문구	NAME	7.0	10.0	-3.0	296.0	2016.0	2016.0	금호어울림	209	11410120334388
11710-6317	송파파인타운8단지	송파구	NAME	2.0	5.0	-3.0	700.0	2008.0	2008.0	송파파인타운8단지	261	11710120102522
11470-128	목동현대3차	양천구	NAME	3.0	6.0	-3.0	972.0	1997.0	1997.0	목동현대3차	449	11470100003284
11710-6309	송파파인타운6단지	송파구	NAME	4.0	7.0	-3.0	564.0	2008.0	2008.0	송파파인타운6단지	368	11710120102486
11620-58	신림현대	관악구	NAME	9.0	12.0	-3.0	1634.0	1993.0	1993.0	신림현대	1033	11620100002167
11650-4063	서초더샵포레	서초구	MIXED	23.0	26.0	-3.0	1264.0	2014.0	2014.0	서초더샵포레(포레스타1단지)	1007	11650120296105
11380-8104	북한산힐스테이트1차아파트	은평구	NAME	8.0	11.0	-3.0	603.0	2009.0	2009.0	북한산힐스테이트1차아파트	321	11380120100631
11380-8024	상림마을7단지아이파크(709~712동)BL1-10	은평구	HIGH	1.0	4.0	-3.0	230.0	2008.0	2008.0	상림마을7단지아이파크(709~712동)BL1-10	119	11380120092723
11260-61	우성	중랑구	NAME	1.0	4.0	-3.0	190.0	1975.0	1975.0	우성	74	11260100002437
11305-5141	꿈의숲롯데캐슬	강북구	MIXED	8.0	11.0	-3.0	615.0	2017.0	2017.0	꿈의숲롯데캐슬	247	11305120348144
11350-5	상계대림	노원구	NAME	2.0	5.0	-3.0	675.0	1989.0	1989.0	상계대림	312	11350100002477
11350-197	삼호3	노원구	NAME	6.0	9.0	-3.0	1260.0	1986.0	1986.0	삼호3	959	11350100050244
11305-3717	미아1차래미안	강북구	LOW	3.0	6.0	-3.0	306.0	2006.0	2006.0	미아1차래미안	122	11305120064820
11380-8619	구파발9단지래미안(916~928동)BL3-2	은평구	NAME	10.0	13.0	-3.0	486.0	2010.0	2010.0	구파발9단지래미안(916~928동)BL3-2	219	11380120130561
11380-8022	상림마을7단지아이파크(702~705동)BL1-4	은평구	HIGH	1.0	4.0	-3.0	241.0	2008.0	2008.0	상림마을7단지아이파크(702~705동)BL1-4	123	11380120092721
11170-138	리버힐삼성	용산구	HIGH	10.0	14.0	-4.0	1102.0	2001.0	2001.0	리버힐삼성	713	11170100000945
11170-4	후암미주	용산구	LEVEL_MISMATCH	1.0	5.0	-4.0	226.0	1980.0	1980.0	후암미주	151	11170100000810
11710-6125	송파파인타운9단지	송파구	NAME	3.0	7.0	-4.0	796.0	2007.0	2007.0	송파파인타운9단지	375	11710120088004
11710-143	현대1차	송파구	LEVEL_MISMATCH	1.0	5.0	-4.0	497.0	1992.0	1992.0	현대1차	218	11710100002342
11350-11	보람2단지	노원구	NAME	7.0	11.0	-4.0	3315.0	1988.0	1988.0	보람아파트	24	11350100050287
11650-3317	롯데캐슬헤론	서초구	HIGH	1.0	5.0	-4.0	337.0	2006.0	2006.0	롯데캐슬헤론	138	11650120055105
11380-8670	은평뉴타운 제각말 푸르지오(5-3단지)	은평구	NAME	3.0	7.0	-4.0	189.0	2010.0	2010.0	제각말5단지푸르지오(522~528동)BL3-6	87	11380120131751
11290-32	대광	성북구	HIGH	3.0	7.0	-4.0	346.0	1971.0	1971.0	대광	161	11290100000320
11710-6029	송파파인타운11단지	송파구	NAME	5.0	9.0	-4.0	333.0	2007.0	2007.0	송파파인타운11단지	240	11710120071754
11710-59	가락(1차)쌍용아파트	송파구	MIXED	10.0	14.0	-4.0	2064.0	1997.0	1997.0	가락(1차)쌍용아파트	1488	11710100002257
11680-3834	삼성동힐스테이트 1단지	강남구	HIGH	13.0	17.0	-4.0	1144.0	2008.0	2008.0	삼성동힐스테이트1단지	585	11680120114536
11305-13	벽산라이브파크	강북구	NAME	15.0	19.0	-4.0	1585.0	2004.0	2004.0	벽산라이브파크	809	11305100003341
11350-34	상계주공14(고층)	노원구	MIXED	12.0	16.0	-4.0	2025.0	1989.0	1989.0	상계주공14(고층)	1495	11350100002506
11380-9129	구파발10단지어울림(1020~1028동)임대BL3-5	은평구	NAME	5.0	9.0	-4.0	712.0	2012.0	2012.0	구파발10단지어울림(1020~1028동)임대BL3-5	697	11380120151656
11350-50	한양	노원구	LOW	1.0	5.0	-4.0	492.0	1988.0	1988.0	한양	180	11350100002522
11500-214	한미(286-1)	강서구	LOW	1.0	5.0	-4.0	220.0	1988.0	1988.0	한미(286-1)	108	11500100001958
11380-8505	우물골2단지두산위브(204~208동)BL2-5	은평구	NAME	1.0	5.0	-4.0	387.0	2009.0	2009.0	우물골2단지두산위브(204~208동)BL2-5	257	11380120125061
11380-8508	마고정3단지센트레빌(301~309동)BL2-11	은평구	NAME	5.0	9.0	-4.0	469.0	2009.0	2009.0	마고정3단지센트레빌(301~309동)BL2-11	270	11380120125064
11290-82	정릉풍림아이원	성북구	MIXED	24.0	28.0	-4.0	1971.0	2005.0	2005.0	정릉풍림아이원	1110	11290100051217
11740-4628	고덕그라시움	강동구	MIXED	49.0	53.0	-4.0	4932.0	2019.0	2019.0	고덕그라시움	4144	11740120394388
11170-14	산호	용산구	LEVEL_MISMATCH	1.0	6.0	-5.0	554.0	1977.0	1977.0	산호	325	11170100000820
11470-23	목동신시가지7	양천구	NAME	29.0	34.0	-5.0	2550.0	1986.0	1986.0	목동신시가지7	1760	11470100003178
