apt_seq	floor_band	repr_floor	obs_height	sun_hours_winter	sun_hours_spring	view_block_pct	open_angle_mean	open_span_max	river_view	park_view	mountain_view
11140-6	HIGH			5.67		81.9	54.4				
11140-6	LOW			4.67		84.7	50.6				
11140-6	MID			4.67		84.7	51.8				
11140-61	HIGH			8.08		44.4	96.6				
11140-61	LOW			8.08		45.8	95.5				
11140-61	MID			8.08		44.4	95.9				
11140-8	HIGH			8.08		20.8	118.3				
11140-8	LOW			8.08		27.8	117.7				
11140-8	MID			8.08		22.2	117.9				
11140-90	HIGH			6.75		22.2	87.1				
11140-90	LOW			4.83		40.3	79.1				
11140-90	MID			5.58		26.4	83.5				
11140-989	HIGH			7.17		29.2	110.5				
11140-989	LOW			5.58		58.3	98.0				
11140-989	MID			6.42		50.0	103.5				
11140-990	HIGH			6.92		27.8	86.0				
11140-990	LOW			3.25		77.8	65.6				
11140-990	MID			3.75		56.9	74.7				
11140-998	HIGH			4.75		65.3	68.7				
11140-998	LOW			4.42		83.3	53.9				
11140-998	MID			4.75		69.4	59.4				
11170-10	HIGH			7.42		2.8	95.9				
11170-10	LOW			7.33		9.7	94.5				
11170-10	MID			7.33		4.2	95.2				
11170-11	HIGH			7.17		41.7	77.5				
11170-11	LOW			6.92		44.4	74.9				
11170-11	MID			7.08		43.1	76.2				
11170-116	HIGH			6.75		26.4	109.9				
11170-116	LOW			6.0		38.9	88.9				
11170-116	MID			6.08		38.9	97.3				
11170-119	HIGH			8.0		0.0	120.1				
11170-119	LOW			8.0		0.0	118.3				
11170-119	MID			8.0		0.0	118.5				
11170-12	HIGH			4.42		41.7	79.8				
11170-12	LOW			4.42		44.4	74.8				
11170-12	MID			4.42		43.1	76.1				
11170-120	HIGH			8.08		0.0	120.4				
11170-120	LOW			6.705		43.75	91.6				
11170-120	MID			7.955		38.85	97.75				
11170-128	HIGH			7.33		29.2	98.1				
11170-128	LOW			7.33		38.9	95.0				
11170-128	MID			7.33		38.9	96.0				
11170-129	HIGH			5.83		30.6	105.5				
11170-129	LOW			5.17		38.9	102.6				
11170-129	MID			5.17		36.1	103.5				
11170-130	HIGH			8.08		0.0	150.5				
11170-130	LOW			8.0		2.8	121.6				
11170-130	MID			8.08		0.0	123.2				
11170-131	HIGH			8.08		2.8	111.9				
11170-131	LOW			3.92		50.0	104.1				
11170-131	MID			7.75		43.1	107.9				
11170-132	HIGH			7.33		29.2	119.9				
11170-132	LOW			5.75		61.1	83.0				
11170-132	MID			5.75		54.2	90.7				
11170-133	HIGH			7.83		0.0	132.7				
11170-133	LOW			6.33		13.9	127.2				
11170-133	MID			6.92		8.3	128.7				
11170-134	HIGH			8.08		0.0	122.7				
11170-134	LOW			8.08		12.5	114.2				
11170-134	MID			8.08		0.0	115.4				
11170-136	HIGH			8.08		9.7	119.1				
11170-136	LOW			8.08		20.8	107.1				
11170-136	MID			8.08		9.7	109.3				
11170-137	HIGH			6.58		48.6	92.4				
11170-137	LOW			4.58		63.9	88.1				
11170-137	MID			5.75		56.9	89.5				
11170-138	HIGH			7.5		34.7	96.45				
11170-138	LOW			3.96		67.4	62.2				
11170-138	MID			5.08		55.6	71.2				
11170-139	HIGH			5.17		48.6	79.6				
11170-139	LOW			0.0		76.4	70.8				
11170-139	MID			0.33		65.3	75.3				
11170-14	HIGH			5.67		44.4	79.5				
11170-14	LOW			2.92		47.2	69.7				
11170-14	MID			3.67		47.2	72.6				
11170-140	HIGH			5.83		79.2	78.8				
11170-140	LOW			3.08		90.3	70.3				
11170-140	MID			4.0		86.1	74.4				
11170-141	HIGH			5.5		73.6	71.6				
11170-141	LOW			4.5		75.0	63.4				
11170-141	MID			5.25		75.0	66.6				
11170-144	HIGH			7.58		0.0	90.5				
11170-144	LOW			7.25		26.4	87.5				
11170-144	MID			7.25		15.3	88.8				
11170-145	HIGH			7.415		26.4	96.5				
11170-145	LOW			2.58		52.1	83.4				
11170-145	MID			4.79		50.0	88.6				
11170-148	HIGH			8.08		0.0	112.3				
11170-148	LOW			8.0		31.9	92.8				
11170-148	MID			8.08		13.9	105.5				
11170-149	HIGH			7.25		63.900000000000006	71.0				
11170-149	LOW			5.955		72.25	62.55				
11170-149	MID			6.165		66.65	66.35				
11170-15	HIGH			6.335		21.5	87.95				
11170-15	LOW			4.415		45.85	83.25				
11170-15	MID			5.125		43.75	84.55				
11170-153	HIGH			7.92		0.0	112.6				
11170-153	LOW			7.83		47.2	105.4				
11170-153	MID			7.83		47.2	107.6				
11170-156	HIGH			6.96		25.7	104.4				
