complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
417923179.0	역삼 래미안	12	12	1050	12	2005.0	22.0	역삼동	True	True
417923180.0	역삼 e편한세상	12	12	850	12	2005.0	25.0	역삼동	True	True
417923181.0	역삼 푸르지오아파트	11	11	738	11	2006.0	24.0	역삼동	True	True
417923182.0	래미안그레이튼아파트	5	5	464	5	2011.0	34.0	역삼동	True	True
417923186.0	테헤란 아이파크	6	6	411	6	2014.0	25.0	역삼동	True	True
417923189.0	동부센트레빌	1	1	206	1	1998.0	21.0	역삼동	True	True
418436032.0	가락삼익아파트	1	1	120	1	1984.0	12.0	송파동	True	True
418641946.0	올림픽훼미리타운아파트 2단지	34	34	2664	34	1988.0	15.0		True	True
431800078.0	강변아파트	4	4	360	4	1987.0	15.0		True	True
431800083.0	잠원현대아파트	2	2	238	2	1993.0	19.0		True	True
431800089.0	잠원훼미리아파트	3	3	288	3	1992.0	18.0		True	True
431800091.0	잠원롯데캐슬2차아파트	8	8	428	8	2004.0	28.0		True	True
431800092.0	잠원롯데캐슬아파트	5	5	256	5	2002.0	25.0		True	True
432034136.0	미성1차아파트	3	3	322	3	1982.0	14.0	압구정동	True	True
432034139.0	미성2차아파트	9	9	910	9	1987.0	17.0	압구정동	True	True
432735924.0	현대1,2차아파트	13	13	960	13	1976.0	15.0	압구정동	True	True
432735925.0	현대5차아파트	6	6	532	6	1979.0	14.0	압구정동	True	True
432735926.0	현대4차아파트	6	6	170	6	1977.0	5.0	압구정동	True	True
432735927.0	현대10차아파트	2	2	144	2	1982.0	12.0	압구정동	True	True
432735928.0	현대14차아파트	3	3	220	3	1987.0	15.0	압구정동	True	True
432735929.0	현대13차아파트	4	4	234	4	1983.0	13.0	압구정동	True	True
432735930.0	현대6,7차아파트압구	11	11	980	11	1978.0	14.0	압구정동	True	True
432735931.0	현대3차아파트	4	4	232	4	1976.0	12.0	압구정동	True	True
436407134.0	신현대아파트	27	27	1924	27	1982.0	13.0	압구정동	True	True
436407215.0	잠원상지리츠빌 카일룸아파트	1	1	14	1	2009.0	16.0		True	True
436698261.0	래미안 신반포팰리스 아파트	7	7	843	7	2016.0	35.0		True	True
436698262.0	신반포19차아파트	2	2	242	2	1982.0	11.0		True	True
436698263.0	잠원한신아파트	7	6	540	7	1992.0	15.0		True	False
436698271.0	금호베스트빌아파트	2	2	117	2	2002.0	17.0	잠원동	True	True
443011156.0	래미안대치팰리스1단지아파트	13	13	1278	13	2015.0	35.0	대치동	True	True
443011306.0	래미안대치팰리스2단지아파트	4	4	330	4	2015.0	35.0	대치동	True	True
443021959.0	대치삼성래미안아파트	15	14	971	14	2000.0	25.0	대치동	False	False
443028264.0	대치동부센트레빌아파트	7	7	805	7	2005.0	29.0	대치동	True	True
443030425.0	삼성타워팰리스2차	2	2	813	2	2003.0	55.0	도곡동	True	True
443030426.0	삼성타워팰리스1차	4	4	1295	4	2002.0	66.0	도곡동	True	True
443036683.0	풍림아이원1차아파트	3	0	0	0			대치동	False	False
443037517.0	풍림아이원2차아파트	2	0	0	0			대치동	False	False
451348414.0	유엔빌리지	13	6	106	5	2007.0	11.0	한남동	False	False
452808499.0	신반포13차아파트	3	3	304	3	2023.0	35.0		True	True
452808503.0	신반포12차아파트	3	3	324	3	1982.0	12.0		True	True
452808509.0	신반포20차아파트	1	1	112	1	1983.0	14.0		True	True
452808510.0	한신타운아파트	1	1	110	1	1989.0	15.0		True	True
468651668.0	우면대림아파트	6	6	442	6	1995.0	15.0		True	True
468651669.0	주공아파트	6	6	984	6	1994.0	15.0		True	True
468651670.0	동양고속건설아파트	5	5	330	5	1995.0	15.0		True	True
468911124.0	강남한신휴플러스6단지	12	12	378	12	2015.0	10.0	율현동	True	True
468935319.0	개포럭키아파트	2	2	128	2	1986.0	8.0	도곡동	True	True
468935320.0	우성5차아파트	4	4	180	4	1986.0	9.0	도곡동	True	True
468935322.0	개포한신아파트	8	8	620	8	1985.0	9.0	도곡동	True	True
468950508.0	매봉삼성아파트	1	1	132	1	1999.0	22.0	도곡동	True	True
469110558.0	도곡렉슬아파트	34	34	2992	34	2006.0	25.0	도곡동	True	True
469594399.0	서광 아파트	1	1	168	1	1998.0	20.0	삼성동	True	True
469651190.0	신반포27차아파트	1	1	156	1	1985.0	12.0		True	True
469682978.0	개포주공 6단지 아파트	9	9	1060	9	1983.0	15.0	개포동	True	True
469682980.0	개포주공 7단지 아파트	8	8	900	8	1983.0	15.0	개포동	True	True
469964551.0	LH강남브리즈힐아파트	13	13	402	13	2014.0	15.0	자곡동	True	True
469964554.0	LH강남3단지아파트	15	15	1065	15	2013.0	15.0	자곡동	True	True
470093270.0	대치2단지 아파트	11	11	1609	10	1992.0	15.0	개포동	False	True
471333765.0	삼성동힐스테이트1차아파트	16	16	1084	16	2008.0	23.0	삼성동	True	True
471571215.0	삼성동롯데아파트	3	3	339	3	2000.0	20.0	삼성동	True	True
471686470.0	강남한신휴플러스8단지아파트	11	11	169	11	2015.0	6.0	율현동	True	True
471724556.0	압구정현대8차아파트	5	5	515	5	1980.0	12.0	압구정동	True	True
471724684.0	압구정한양4차아파트	4	4	286	4	1978.0	13.0	압구정동	True	True
471724970.0	압구정한양6차아파트	2	2	228	2	1980.0	12.0	압구정동	True	True
471725144.0	압구정한양2차아파트	5	5	296	5	1978.0	13.0	압구정동	True	True
471726187.0	압구정한양3차아파트	5	5	312	5	1978.0	13.0	압구정동	True	True
471726603.0	압구정한양1차아파트	10	10	936	10	1978.0	12.0	압구정동	True	True
471733248.0	잠실 파크리오	66	66	6734	64	2008.0	36.0	신천동	False	True
