osm_id	building_type	name	truth_id	truth_name	cluster_id
663489500	apartments	304동	475032127.0	센트럴아이파크아파트	413
663489503	apartments	205동	614498550.0	삼성동힐스테이트2차아파트	411
663489504	apartments	203동	614498550.0	삼성동힐스테이트2차아파트	411
663489505	apartments	201동	614498550.0	삼성동힐스테이트2차아파트	411
663489506	apartments	202동	614498550.0	삼성동힐스테이트2차아파트	411
663489507	apartments	212동	614498550.0	삼성동힐스테이트2차아파트	411
663489508	apartments	211동	614498550.0	삼성동힐스테이트2차아파트	411
663489509	apartments	210동	614498550.0	삼성동힐스테이트2차아파트	411
663489510	apartments	204동	614498550.0	삼성동힐스테이트2차아파트	411
663489511	apartments	206동	614498550.0	삼성동힐스테이트2차아파트	411
663489512	apartments				411
663489513	apartments	207동	614498550.0	삼성동힐스테이트2차아파트	411
663489514	apartments	207동	614498550.0	삼성동힐스테이트2차아파트	411
663489515	apartments	208동	614498550.0	삼성동힐스테이트2차아파트	411
663489520	apartments	A동	1077632502.0	쌍용플래티넘아파트	409
663489521	apartments	B동	1077632502.0	쌍용플래티넘아파트	409
663489523	apartments				415
663489529	apartments				414
663505052	apartments		1077632501.0	청담삼성진흥아파트	421
663505053	apartments		1077632501.0	청담삼성진흥아파트	421
663505054	apartments	101	1351511039.0	청담현대1차아파트	419
663505056	apartments	102	1351511039.0	청담현대1차아파트	419
663505064	apartments	101동	475036496.0	청담대림e편한세상1차아파트	371
663505065	apartments	104동	475036496.0	청담대림e편한세상1차아파트	371
663505066	apartments	102동	475036496.0	청담대림e편한세상1차아파트	371
663505067	apartments	103동	475036496.0	청담대림e편한세상1차아파트	371
663505068	apartments		475036501.0	삼환아파트	371
663505106	apartments				457
663505108	apartments	삼성동우림루미아트			457
664676357	apartments				653
664676358	apartments				653
664676359	apartments				653
664676361	apartments				653
664676365	apartments				653
664676366	apartments				653
664676367	apartments				652
664676368	apartments				669
664676369	apartments				653
664676370	apartments				653
664676371	apartments				669
664676372	apartments				670
664676374	apartments				653
664687902	apartments				653
664687903	apartments				669
664687904	apartments				671
664687905	apartments				669
664687906	apartments				671
664687907	apartments				671
664687908	apartments				671
664687909	apartments				671
664687910	apartments				671
664687911	apartments				671
664687912	apartments				669
664687913	apartments				671
664687914	apartments				653
664687915	apartments				653
664687916	apartments				653
664687917	apartments				653
664687918	apartments				669
664687919	apartments				669
664687920	apartments				671
664687921	apartments				671
664687922	apartments				704
664688165	apartments				671
664689565	apartments				669
664689566	apartments				654
664689567	apartments				670
664689568	apartments				669
664689569	apartments				653
664689570	apartments				669
664689571	apartments				671
664689572	apartments				652
664689573	apartments				669
664689574	apartments				671
664689575	apartments				669
664696231	apartments	253동			672
664696232	apartments	254동			672
664696234	apartments	261동			672
664696235	apartments	260동			672
664696236	apartments	262동			672
664696237	apartments	255동			672
664696238	apartments	256동			672
664696240	apartments	259동			672
669388486	apartments				499
669388496	apartments				499
669388502	apartments				499
669388503	apartments				499
669388504	apartments				499
669388509	apartments				499
669388510	apartments				499
669388511	apartments				499
669388512	apartments				499
669388513	apartments				499
669388519	apartments				499
669388522	apartments	금호어울림아파트			499
669388524	apartments				499
669388525	apartments		669388527.0	삼성동 풍림2차아파트	499
669388528	apartments		614502551.0	삼성동 풍림1차아파트	499
676482828	apartments	JBK빌딩			175
676482830	apartments				177
676482832	apartments				177
676482833	apartments				175
676482836	apartments				177
676482838	apartments				175
676482840	apartments				177
676708581	apartments				176
676712988	apartments				175
676713000	apartments				175
676713001	apartments				175
676713002	apartments				175
676713003	apartments				175
676713004	apartments				175
676713008	apartments				175
676713012	apartments				175
676718006	apartments				175
676718007	apartments				175
676718009	apartments				175
676718013	apartments				175
676718015	apartments				175
676718016	apartments				175
676718019	apartments				175
676718027	apartments				175
676718031	apartments				175
676721699	apartments				175
676721700	apartments				175
676722853	apartments				175
676724554	apartments				175
676724568	apartments				173
676724569	apartments				173
676724570	apartments				173
676724574	apartments				173
676724579	apartments				174
676724581	apartments				175
676724582	apartments				173
676729509	apartments				170
676729512	apartments				170
676729525	apartments				170
676729539	apartments				170
676729540	apartments				170
676729541	apartments				170
676729545	apartments	명지빌딩			170
676729546	apartments				170
676729554	apartments				170
676729558	apartments				170
676729560	apartments				170
676729561	apartments				172
676730674	apartments				170
676730678	apartments				170
676731554	apartments				213
676732119	apartments				175
676732121	apartments				175
676732122	apartments	한라비발디스튜디오193			175
676732123	apartments				175
676732135	apartments				175
676732140	apartments	서초동두산위브			175
676938581	apartments				175
676938582	apartments				173
676938587	apartments				175
676938589	apartments				175
676938592	apartments				175
676938597	apartments				175
676938598	apartments				173
676938601	apartments				175
676938605	apartments				175
676938606	apartments				175
676938609	apartments				175
676938611	apartments				175
676938612	apartments				173
676938620	apartments				175
676938621	apartments				175
676938622	apartments				175
676938627	apartments				175
676938630	apartments				175
676947833	apartments				175
677787312	apartments	3	925265488.0	도곡현대아파트	221
677787313	apartments	2	925265488.0	도곡현대아파트	221
677796314	apartments	현대주상복합아파트			872
677796319	apartments	파라다이스빌 잠실			876
677799950	apartments				872
677799951	apartments				872
677799952	apartments				872
677799963	apartments				872
677799965	apartments				872
677799966	apartments				872
677802614	apartments				865
677802627	apartments				865
677802633	apartments				865
677802643	apartments				865
677802648	apartments				865
677802650	apartments	부광아파트			865
677802653	apartments	뉴파크플러스			865
677802655	apartments	몽촌아파트			867
677802664	apartments				865
677802687	apartments				869
677802698	apartments				868
677802699	apartments				865
677802700	apartments				865
677804191	apartments				865
677804193	apartments				865
677804224	apartments				870
677804236	apartments				865
677804237	apartments				865
677804247	apartments	그린파크빌아파트			870
678034619	apartments				873
678034622	apartments				873
678034624	apartments				873
678034625	apartments				873
678038055	apartments				871
678038056	apartments				863
678038074	apartments				871
678038090	apartments				947
678038106	apartments				863
678038117	apartments				947
678038123	apartments				947
678038390	apartments	한솔빌라트			945
678038391	apartments	방이동그린파크아파트			945
678038393	apartments	도무스빌			948
678041054	apartments				871
678041056	apartments				945
678041077	apartments				871
678041079	apartments				871
678041094	apartments				946
678041101	apartments				871
678041107	apartments	우광아파트			947
678041111	apartments	방이어반하우스			947
678041586	apartments	방이동드림펠리스			871
678041591	apartments				871
678041592	apartments				871
678041597	apartments				871
678041598	apartments				940
678041599	apartments				866
678041604	apartments	광남벨라스아파트			871
678041605	apartments				871
678041610	apartments				943
678041613	apartments				871
678041623	apartments	돈하버하우징			871
678041626	apartments	조이빌			871
678041631	apartments				871
678041638	apartments	주함위너스II			871
678041645	apartments				871
678041646	apartments				871
678041648	apartments				866
678041649	apartments				871
678041665	apartments				871
678041669	apartments				871
678055396	apartments				940
678055403	apartments				863
678055405	apartments				863
678055410	apartments				863
678055415	apartments				863
678055420	apartments				863
678055430	apartments	은성아파트			866
678055431	apartments				942
678055446	apartments				866
678055447	apartments				863
678055456	apartments				940
678055464	apartments				866
678055478	apartments				863
678055481	apartments				940
678055487	apartments				863
678055488	apartments				863
678055498	apartments				863
678055501	apartments				866
678085948	apartments	주함위너스I			871
679004788	apartments	프라임아파트			194
684421220	apartments	109	901606902.0	올림픽훼미리타운아파트 1단지	903
684421221	apartments	107	901606902.0	올림픽훼미리타운아파트 1단지	904
684421222	apartments	105	901606902.0	올림픽훼미리타운아파트 1단지	907
684421223	apartments	106	901606902.0	올림픽훼미리타운아파트 1단지	904
684421224	apartments	108	901606902.0	올림픽훼미리타운아파트 1단지	903
684421225	apartments	104	901606902.0	올림픽훼미리타운아파트 1단지	907
684421226	apartments	103	901606902.0	올림픽훼미리타운아파트 1단지	909
684421227	apartments	102	901606902.0	올림픽훼미리타운아파트 1단지	909
684421228	apartments	101	901606902.0	올림픽훼미리타운아파트 1단지	911
689645719	apartments	512동	474304292.0	송파헬리오시티	771
689645720	apartments	517동	474304292.0	송파헬리오시티	771
689645722	apartments	511동	474304292.0	송파헬리오시티	771
689649138	apartments	510동	474304292.0	송파헬리오시티	771
689649139	apartments	502동	474304292.0	송파헬리오시티	771
689649140	apartments	501동	474304292.0	송파헬리오시티	771
689649141	apartments	503동	474304292.0	송파헬리오시티	771
