aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11440-8	신공덕래미안2차	마포구	LOW	1465090659	110	110		56.0	320.48935006000056	nearest
11440-40	신촌삼익	마포구	LOW	1467669020	121	121	15.0	55.0	221.73285216956472	nearest
11440-5456	신촌예스빌딩	마포구	LOW	1467799367	142	142	15.0	56.0	21.508167245963367	nearest
11440-5657	신촌다올노블리움	마포구	LOW	1467800863	83	83	14.0	47.0	0.4664547099676294	nearest
11110-2502	마운틴뷰	종로구	LOW	1471544252	마운틴뷰아파트	마운틴뷰아파트			0.2490295751093028	nearest
11110-2071	렉스팰리스	종로구	LOW	1471544253	유 노래방	유노래방	1.0		222.58116371932184	nearest
11380-252	문영마운틴(167-2)	은평구	HIGH	1491122910	문명마운틴2차아파트 A동	문명마운틴2차아파트A	7.0	19.6	5.6167418438600665	boundary
11380-251	문영마운틴(167-1)	은평구	HIGH	1491122911	문명마운틴2차아파트 B동	문명마운틴2차아파트B	7.0	19.6	5.899988865472129	boundary
11380-244	세영	은평구	LOW	1491126734	세영프라임아파트	세영프라임아파트			4.308232700702684	nearest
11380-170	자선메르시안(193)	은평구	LOW	1492098250	4동	4	3.0	8.399999999999999	229.4266695196225	nearest
11380-91	명남태봉	은평구	LOW	1492125416	명남태봉아파트	명남태봉아파트	7.0	19.6	1.4464321171041066	nearest
11170-292	라이온즈	용산구	LOW	123723416	라이온스아파트	라이온스아파트			0.2265814820466485	nearest
11200-30	신동아	성동구	HIGH	158661318	101	101	15.0	40.0	51.976071299964175	boundary
11200-30	신동아	성동구	HIGH	158661603	102	102	12.0	32.0	1.3931807765189157	boundary
11200-30	신동아	성동구	HIGH	158661893	103	103	15.0	40.0	77.60582907982747	boundary
11200-30	신동아	성동구	HIGH	158662042	104	104	15.0	40.0	164.1567080188275	boundary
11350-142	삼창	노원구	HIGH	168284901	B	B	12.0	33.599999999999994	37.83038425308137	boundary
11350-142	삼창	노원구	HIGH	168285327	A	A	10.0	28.0	116.72893978620952	boundary
11680-428	현대14차(203,204,205,206동)	강남구	MIXED	192760493	73동	73	14.0	39.2	111.03807655313253	nearest
11680-475	현대65동(대림아크로빌아파트)	강남구	HIGH	192760530	72동	72	14.0	39.2	56.9952038714241	boundary
11680-419	현대5차(71,72동)	강남구	LOW	193180216	25동	25	15.0	42.0	174.50510640927814	nearest
11110-107	경희궁파크팰리스	종로구	LOW	196068899	파크팰리스 101동	파크팰리스101	16.0	48.0	46.76514793833584	nearest
11110-107	경희궁파크팰리스	종로구	LOW	196068900	파크팰리스 103동	파크팰리스103	16.0	48.0	3.05772065811703	nearest
11110-107	경희궁파크팰리스	종로구	LOW	196068901	파크팰리스 102동	파크팰리스102	16.0	48.0	45.356815898759486	nearest
